0,9% Sodium Chloride-BRAUN;Natrii chloridum;9 mg/ml;roztwór do infuzji;08754;Bezterminowe;B. Braun Melsungen AG;NAR;B05CB01
1% Spirytusowy roztwór fioletu gencjanowego Gemi;Methylrosanilinii chloridum;10 mg/g;płyn na skórę;03167;Bezterminowe;"Grzegorz Nowakowski Przedsiębiorstwo Produkcji Farmaceutycznej ""GEMI""";NAR;
1% Wodny roztwór fioletu gencjanowego Gemi;Methylrosanilinii chloridum;10 mg/g;płyn na skórę;03169;Bezterminowe;"Grzegorz Nowakowski Przedsiębiorstwo Produkcji Farmaceutycznej ""GEMI""";NAR;
10% Dekstran 40 000 Baxter;Dextranum;100 mg/ml;roztwór do infuzji;10414;Bezterminowe;Baxter Polska Sp. z o.o.;NAR;B05AA05
10% Dekstran 40 000 Fresenius;Dextranum;100 mg/ml;roztwór do infuzji;02127;Bezterminowe;Fresenius Kabi Polska Sp. z o.o.;NAR;B05AA05
11C-cholina;Choline (11C);50 MBq/ml na dzień i godzinę odniesienia;roztwór do wstrzykiwań;23327;2021-07-19;Voxel S.A.;NAR;
2% Spirytusowy roztwór fioletu gencjanowego Gemi;Methylrosanilinii chloridum;20 mg/g;płyn na skórę;03168;Bezterminowe;"Grzegorz Nowakowski Przedsiębiorstwo Produkcji Farmaceutycznej ""GEMI""";NAR;
2% Wodny roztwór fioletu gencjanowego gemi;Methylrosanilinii chloridum;20 mg/g;płyn na skórę;03170;Bezterminowe;"Grzegorz Nowakowski Przedsiębiorstwo Produkcji Farmaceutycznej ""GEMI""";NAR;
5-Fluorouracil-Ebewe;Fluorouracilum;500 mg;roztwór do wstrzykiwań i infuzji;04506;Bezterminowe;Ebewe Pharma Ges.m.b.H Nfg. KG;NAR;L01BC02
6% Dekstran 70 000 Baxter;Dextranum;60 mg/ml;roztwór do infuzji;10415;Bezterminowe;Baxter Polska Sp. z o.o.;NAR;B05AA05
6% Dekstran 70 000 Fresenius;Dextranum;60 mg/ml;roztwór do infuzji;03304;2015-05-01;Fresenius Kabi Polska Sp. z o.o.;NAR;B05AA05
99Tc - Tektrotyd;Technetium 99mTc-HYNIC-Tyr^3-Octeotide;16 mcg HYNIC-[De-Phe^1, Tyr^3-Oktreotyd] TFA;liofilizat do sporządzania roztworu do wstrzykiwań;11664;Bezterminowe;Narodowe Centrum Badań  Jądrowych;NAR;V09IA07
Abacavir + Lamivudine Mylan;Abacavirum + Lamivudinum;600 mg + 300 mg;tabletki powlekane;23429;2021-09-19;Mylan Laboratoires SAS;DCP;J05AR02
Abacavir + Lamivudine Sandoz;Abacavirum + Lamivudinum;600 mg + 300 mg;tabletki powlekane;23445;2021-09-28;Sandoz GmbH;DCP;J05AR02
Abacavir + Lamivudine Zentiva;Abacaviri sulfas + Lamivudinum;600 mg + 300 mg;tabletki powlekane;24404;2022-11-24;Zentiva, k.s.;DCP;J05AR02
Abacavir Sandoz;Abacaviri sulfas;300 mg;tabletki powlekane;23319;2021-07-30;Sandoz GmbH;DCP;J05AF06
Abacavir/Lamivudine STADA;Abacavir + Lamivudine;600 mg + 300 mg;tabletki powlekane;23786;2022-03-01;STADA Arzneimittel AG;DCP;J05AR02
Abacavir/Lamivudine Teva;Abacavirum + Lamivudinum;600 mg + 300 mg;tabletki powlekane;23389;2021-09-01;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;J05AR02
Abacavir/Lamivudine/Zidovudine Teva;Abacavirum + Lamivudinum + Zidovudinum;300 mg + 150 mg + 300 mg;tabletki powlekane;21302;2016-07-03;Teva Pharmaceuticals Polska Sp. z o.o.;DCP;J05AR04
Abaktal;Pefloxacinum;80 mg/ml;roztwór do infuzji;00618;Bezterminowe;Sandoz GmbH;NAR;J01MA03
Abaktal;Pefloxacinum;400 mg;tabletki powlekane;00617;Bezterminowe;Sandoz GmbH;NAR;J01MA03
Abasaglar;Insulinum glarginum;100 j.m./ml;roztwór do wstrzykiwań;;;Eli Lilly Regional Operations GmbH;CEN;A10AE04
ABE;Acidum lacticum + Acidum salicylicum;(89 mg + 89 mg)/g;płyn na skórę;00409;Bezterminowe;Grupa Inco S.A.;NAR;
Abelcet;Amphotericinum B;5 mg/ml;koncentrat do sporządzania zawiesiny do infuzji;09739;Bezterminowe;Teva Pharmaceuticals Polska Sp. z o.o.;NAR;J02AA01
Abfen;Ibuprofenum;200 mg;granulat musujący;21168;2016-03-04;BGP Products Poland Sp. z o.o.;DCP;M01AE01
Abfen Forte;Ibuprofenum;400 mg;granulat musujący;21015;2016-03-04;BGP Products Poland Sp. z o.o.;DCP;M01AE01
Abilify;Aripiprazolum;7,5 mg/ml;roztwór do wstrzykiwań;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify;Aripiprazolum;1 mg/ml;roztwór doustny;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify;Aripiprazolum;5 mg;tabletki;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify;Aripiprazolum;10 mg;tabletki;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify;Aripiprazolum;15 mg;tabletki;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify;Aripiprazolum;30 mg;tabletki;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify;Aripiprazolum;10 mg;tabletki ulegające rozpadowi w jamie ustnej;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify;Aripiprazolum;15 mg;tabletki ulegające rozpadowi w jamie ustnej;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify;Aripiprazolum;30 mg;tabletki ulegające rozpadowi w jamie ustnej;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify Maintena;Aripiprazolum;300 mg;proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań o przedłużonym uwalnianiu;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abilify Maintena;Aripiprazolum;400 mg;proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań o przedłużonym uwalnianiu;;;Otsuka Pharmaceutical Europe Ltd;CEN;N05AX12
Abraxane;Paclitaxelum;5 mg/ml;proszek do sporządzania zawiesiny do infuzji;;;Celgene Europe Limited;CEN;L01CD01
Abrea;Acidum acetylsalicylicum;75 mg;tabletki dojelitowe;23818;2022-03-12;Krka, d.d., Novo mesto;DCP;B01AC06
Abrea;Acidum acetylsalicylicum;100 mg;tabletki dojelitowe;23819;2022-03-12;Krka, d.d., Novo mesto;DCP;B01AC06
Abrea;Acidum acetylsalicylicum;160 mg;tabletki dojelitowe;23820;2022-03-12;Krka, d.d., Novo mesto;DCP;B01AC06
Abrotanum;Preparat homeopatyczny;-;"Granulki; granulki w pojemniku jednodawkowym; krople doustne, roztwór";IL-3398/LN-H;Bezterminowe;Boiron SA;NAR;
Abseamed;Epoetinum alfa;1000 j.m./0,5 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;2000 j.m./ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;3000 j.m./0,3 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;4000 j.m./0,4 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;5000 j.m./0,5 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;6000 j.m./0,6 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;8000 j.m./0,8 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;10 000 j.m./ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;7000 j.m./0,7 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;9000 j.m./0,9 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;20000 j.m./0,5 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;30000 j.m/0,75 ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Abseamed;Epoetinum alfa;40000 j.m./ml;roztwór do wstrzykiwań;;;Medice Arzneimittel Puetter GmbH & Co. KG;CEN;B03XA01
Absenor;Natrii valproas;300 mg;tabletka o przedłużonym uwalnianiu;12748;Bezterminowe;Orion Corporation;MRP;N03AG01
Absenor;Natrii valproas;500 mg;tabletka o przedłużonym uwalnianiu;12747;Bezterminowe;Orion Corporation;MRP;N03AG01
Acarbose Bluepharma;Acarbosum;50 mg;tabletki;21602;2018-12-10;Bluepharma Industria Farmaceutica S.A.;DCP;A10BF01
Acarbose Bluepharma ;Acarbosum;100 mg;tabletki;21603;2018-12-10;Bluepharma Industria Farmaceutica S.A.;DCP;A10BF01
