1-01-2019;wtorek;Nowy Rok
6-01-2019;niedziela;Trzech Króli (Objawienie Pańskie)
21-01-2019;poniedziałek;Dzień Babci
22-01-2019;wtorek;Dzień Dziadka
2-02-2019;sobota;Ofiarowanie Pańskie (Matki Boskiej Gromnicznej)
14-02-2019;czwartek;Dzień Zakochanych (Walentynki)
28-02-2019;czwartek;Tłusty czwartek
1-03-2019;piątek;Narodowy Dzień Pamięci Żołnierzy Wyklętych
2-03-2019;sobota;Ostatnia sobota karnawału
5-03-2019;wtorek;Ostatki
6-03-2019;Środa;Popielec
8-03-2019;piątek;Międzynarodowy Dzień Kobiet
10-03-2019;niedziela;Dzień Mężczyzn
20-03-2019;Środa;Początek astronomicznej wiosny
31-03-2019;niedziela;Zmiana czasu z zimowego na letni
1-04-2019;poniedziałek;Prima Aprilis
14-04-2019;niedziela;Niedziela Palmowa
18-04-2019;czwartek;Wielki Czwartek
19-04-2019;piątek;Wielki Piątek
20-04-2019;sobota;Wielka Sobota
21-04-2019;niedziela;Wielkanoc
22-04-2019;poniedziałek;Poniedziałek Wielkanocny, Międzynarodowy Dzień Ziemi
28-04-2019;niedziela;Święto Bożego Miłosierdzia
1-05-2019;Środa;Międzynarodowe Święto Pracy
2-05-2019;czwartek;Dzień Flagi Rzeczpospolitej Polskiej
3-05-2019;piątek;Święto Konstytucji 3-05-2019
26-05-2019;niedziela;Dzień Matki
1-06-2019;sobota;Międzynarodowy Dzień Dziecka
2-06-2019;niedziela;Wniebowstąpienie
9-06-2019;niedziela;Zesłanie Ducha Świętego (Zielone Świątki)
20-06-2019;czwartek;Boże Ciało
21-06-2019;piątek;Pierwszy Dzień Lata - najdłuższy dzień roku
23-06-2019;niedziela;Dzień Ojca
1-08-2019;czwartek;Narodowy Dzień Pamięci Powstania Warszawskiego
15-08-2019;czwartek;Święto Wojska Polskiego, Wniebowzięcie Najświętszej Maryi Panny
31-08-2019;sobota;Dzień Solidarności i Wolności
23-09-2019;poniedziałek;Początek Astronomicznej Jesieni
30-09-2019;poniedziałek;Dzień Chłopaka
14-10-2019;poniedziałek;Dzień Nauczyciela (Dzień Edukacji Narodowej)
27-10-2019;niedziela;Zmiana czasu z letniego na zimowy
1-11-2019;piątek;Wszystkich Świętych
2-11-2019;sobota;Dzień zaduszny
11-11-2019;poniedziałek;Narodowe święto Niepodległości
29-11-2019;piątek;Andrzejki (w nocy z 29 na 30)
4-12-2019;Środa;Barbórka (Dzień Górnika, Naftowca i Gazownika)
6-12-2019;piątek;Dzień św. Mikołaja
22-12-2019;niedziela;Początek astronomicznej zimy - najkrótszy dzień roku
24-12-2019;wtorek;Wigilia Bożego Narodzenia
25-12-2019;Środa;Boże Narodzenie (pierwszy dzień)
26-12-2019;czwartek;Boże Narodzenie (drugi dzień)
31-12-2019;wtorek;Sylwester
